"","c"
"3927x793","eL2/3"
"3941x1810","L5-1"
"3934x3757","eL5-3"
"3956x4150","eL2/3"
"3943x3148","eL2/3"
"3974x3879","eL5-3"
"3940x2689","eL2/3"
"3947x3581","Endo"
"3972x2174","eL2/3"
"3992x224","eL5-3"
"4008x1037","Endo"
"3996x2018","SST"
"4012x2519","L5-1"
"4026x2847","eL5-3"
"4007x6258","eL5-2"
"4003x4792","eL5-2"
"4056x1245","L5-1"
"4063x3450","Endo"
"4052x4572","eL5-2"
"4091x1491","L5-1"
"4099x2666","L5-1"
"4064x6440","eL5-3"
"4084x6565","eL2/3"
"4097x6103","Smc"
"4104x5106","eL5-2"
"4097x2291","VIP"
"4089x528","eL2/3"
"4110x3586","Endo"
"4108x5879","eL5-2"
"4147x2123","eL5-2"
"4135x2429","eL2/3"
"4180x4528","eL5-2"
"4177x5444","eL5-2"
"4199x1841","eL5-2"
"4241x4940","eL5-2"
"4274x970","L5-1"
"4244x3612","Endo"
"4235x6338","Astro"
"4237x3037","L5-1"
"4311x4318","L5-1"
"4388x1954","L5-1"
"4284x825","eL5-3"
"4342x3036","eL5-3"
"4345x3674","Endo"
"4342x3202","eL5-3"
"4379x6351","eL2/3"
"4326x699","Astro"
"4427x3354","L5-1"
"4395x5349","eL2/3"
"4419x2438","eL5-3"
"4417x4556","SST"
"4434x102","Astro"
"4445x2701","eL5-3"
"4443x5876","eL5-2"
"4439x2236","eL5-2"
"4475x4708","eL5-2"
"4479x3955","L5-1"
"4506x3823","eL5-2"
"4491x5739","eL5-2"
"4493x4359","eL6-2"
"4502x6429","VIP"
"4530x5152","eL5-2"
"4559x2733","Astro"
"4549x1439","eL5-3"
"4573x3050","Lhx6"
"4584x4796","L5-1"
"4616x2498","L5-1"
"4588x762","eL5-3"
"4611x1566","L5-1"
"4622x3547","eL5-2"
"4602x4420","eL2/3"
"4616x5789","eL5-3"
"4617x1013","L5-1"
"4629x4923","L5-1"
"4656x3179","Lhx6"
"4647x2153","eL5-2"
"4673x4241","L5-1"
"4718x4341","eL5-3"
"4692x1224","L5-1"
"4705x4522","eL2/3"
"4729x5381","eL5-2"
"4713x5931","eL5-3"
"4738x3416","L5-1"
"4730x2345","L5-1"
"4771x3846","L5-1"
"4747x1483","L5-1"
"4760x5551","eL5-2"
"4789x834","eL5-3"
"4796x6269","eL5-2"
"4787x335","eL5-3"
"4831x5702","eL5-2"
"4805x3969","SST"
"4785x1351","Astro"
"4824x4588","eL5-3"
"4832x5816","eL5-3"
"4837x5961","Astro"
"4834x1072","L5-1"
"4843x1919","eL5-3"
"4852x2271","L5-1"
"4849x5153","L5-1"
"4894x6374","eL5-2"
"4862x2753","eL5-2"
"4897x85","eL5-3"
"4867x3356","L5-1"
"4895x1559","eL5-2"
"4887x3710","eL5-3"
"4889x3549","eL5-2"
"4886x6070","Endo"
"4921x4079","eL5-3"
"4907x3227","L5-1"
"4915x5499","eL2/3"
"4911x3096","eL5-2"
"4880x4307","eL5-2"
"4884x2947","eL5-2"
"4944x5230","L5-1"
"4958x6105","Endo"
"4947x4907","eL5-3"
"4956x4497","L5-1"
"4995x2631","eL5-2"
"5018x6547","Astro"
"5000x3469","L5-1"
"4986x1216","eL5-3"
"5023x783","eL6-2"
"5040x1067","eL5-2"
"5051x3353","eL5-2"
"5048x5949","eL5-3"
"5091x630","L5-1"
"5078x5550","eL5-2"
"5116x1531","NPY"
"5118x880","Smc"
"5129x6037","Endo"
"5154x4778","L5-1"
"5138x4913","eL5-2"
"5184x994","L5-1"
"5172x5235","eL5-3"
"5190x3948","SST"
"5203x1124","eL5-2"
"5219x1892","SST"
"5211x2607","Astro"
"5203x2895","eL2/3"
"5213x2740","eL5-3"
"5207x385","eL5-3"
"5219x166","eL5-2"
"5247x1284","L5-1"
"5227x2273","eL5-2"
"5218x6328","Lhx6"
"5262x1801","L5-1"
"5252x5910","Endo"
"5271x3021","eL5-2"
"5277x6161","Endo"
"5275x3504","eL5-3"
"5314x4858","L5-1"
"5272x5434","SST"
"5298x4727","eL5-2"
"5304x1513","eL5-3"
"5333x95","eL5-3"
"5343x5027","Astro"
"5382x6558","eL5-2"
"5331x2045","eL5-2"
"5331x3871","eL5-2"
"5349x6081","Endo"
"5352x2839","eL5-3"
"5405x648","eL5-3"
"5357x6253","eL5-3"
"5362x2282","eL5-3"
"5380x4618","eL5-3"
"5389x4497","L5-1"
"5387x1744","L5-1"
"5426x4374","eL5-3"
"5479x5613","eL5-3"
"5459x460","Astro"
"5451x1607","SST"
"5462x6302","eL5-3"
"5501x2039","eL5-3"
"5467x1236","eL5-3"
"5470x3252","L5-1"
"5478x4734","L5-1"
"5487x2255","eL5-3"
"5508x5419","L5-1"
"5508x6144","Endo"
"5568x2413","L5-1"
"5561x766","eL5-3"
"5549x3552","eL5-3"
"5582x5828","Endo"
"5621x6247","Astro"
"5631x4789","eL5-2"
"5645x2275","VIP"
"5634x5331","eL5-3"
"5576x4124","eL5-2"
"5628x4930","eL5-3"
"5637x5160","L5-1"
"5656x1674","eL5-3"
"5740x141","eL5-3"
"5684x3412","eL5-3"
"5651x6092","Astro"
"5690x6425","eL5-2"
"5696x5779","Endo"
"5702x3641","eL5-3"
"5722x5037","L5-1"
"5763x5238","L5-1"
"5731x1452","eL5-3"
"5709x2520","eL5-3"
"5722x4370","eL5-3"
"5699x900","eL5-3"
"5807x3991","VIP"
"5797x924","eL5-3"
"5788x2421","L5-1"
"5800x5890","eL5-3"
"5821x5637","eL5-2"
"5797x521","eL5-3"
"5825x6038","eL5-2"
"5809x6336","eL5-2"
"5842x5771","Astro"
"5843x1342","eL5-3"
"5844x4147","L5-1"
"5819x3298","eL5-3"
"5848x4403","eL5-3"
"5863x1554","eL5-3"
"5887x718","eL5-2"
"5894x4551","Astro"
"5916x2031","eL2/3"
"5934x1447","eL5-3"
"5937x2251","eL6-2"
"5913x2816","eL5-3"
"5937x3094","eL5-3"
"6004x5227","eL5-3"
"5983x4699","eL5-2"
"5976x5714","eL5-2"
"5981x1218","eL5-2"
"5999x1645","eL5-3"
"5987x6066","VIP"
"6025x2395","SST"
"6028x4283","eL5-3"
"6046x1753","eL5-2"
"6062x5563","eL5-3"
"6041x6230","eL5-3"
"6060x2195","eL5-2"
"6098x3076","eL5-3"
"6093x5764","eL5-3"
"6090x646","L5-1"
"6125x461","eL5-3"
"6114x5375","Smc"
"6127x3968","Smc"
"6139x4103","eL5-2"
"6114x3526","SST"
"6156x6301","Astro"
"6166x1119","eL5-3"
"6158x2728","eL6-1"
"6238x3517","L5-1"
"6236x1766","eL5-3"
"6222x3314","eL5-3"
"6213x4837","eL6-1"
"6229x3008","eL5-2"
"6233x4631","eL5-2"
"6233x3665","Endo"
"6259x5022","eL6-1"
"6272x2157","L5-1"
"6249x6533","eL5-3"
"6283x3756","Astro"
"6264x4064","eL6-1"
"6285x2467","L5-1"
"6311x4309","L5-1"
"6301x5204","eL5-3"
"6307x2310","L5-1"
"6346x3183","L5-1"
"6373x762","eL5-3"
"6371x4731","eL6-1"
"6361x1674","NPY"
"6391x900","eL5-3"
"6411x623","eL5-3"
"6378x1501","eL5-3"
"6401x5086","SST"
"6423x3344","Lhx6"
"6435x3831","L5-1"
"6439x2636","eL5-3"
"6450x117","eL5-3"
"6469x2227","eL5-3"
"6450x3676","Endo"
"6475x5395","eL5-3"
"6501x1623","Lhx6"
"6509x2951","eL6-1"
"6512x3146","NPY"
"6546x3981","eL5-3"
"6520x4977","eL5-2"
"6552x6556","eL5-3"
"6574x2749","eL5-2"
"6575x4808","SST"
"6576x1361","eL6-2"
"6584x3576","Endo"
"6617x5999","eL5-2"
"6604x5358","NPY"
"6616x5125","eL6-2"
"6609x2279","eL5-3"
"6642x4936","eL5-2"
"6642x1518","eL5-3"
"6667x688","NPY"
"6687x4142","L5-1"
"6714x307","eL5-3"
"6716x3101","eL5-2"
"6712x999","Lhx6"
"6699x1722","eL5-2"
"6695x3510","Endo"
"6727x1151","eL5-3"
"6755x1963","Smc"
"6752x158","eL5-3"
"6764x4555","L5-1"
"6768x5494","eL5-3"
"6771x6251","eL6-1"
"6789x771","eL5-3"
"6787x2109","eL5-3"
"6806x2756","eL5-3"
"6789x1406","Lhx6"
"6789x1259","eL5-3"
"6810x4013","eL6-2"
"6807x59","eL2/3"
"6824x4742","eL5-2"
"6836x6395","eL6-1"
"6850x992","VIP"
"6866x4229","eL6-1"
"6845x4876","Lhx6"
"6864x3224","eL5-3"
"6876x2153","Astro"
"6899x1850","eL5-2"
"6905x5721","Smc"
"6931x3426","L5-1"
"6922x5068","SST"
"6924x5254","Oligo"
"6918x6545","Astro"
"6932x361","eL5-3"
"6945x2735","eL5-3"
"6961x4096","L5-1"
"6964x2485","Smc"
"6972x1631","eL5-3"
"6991x5422","eL5-2"
"6982x980","eL5-2"
"7008x4554","Oligo"
"7009x6175","Lhx6"
"7024x4770","eL5-3"
"7050x5272","eL5-3"
"7033x1292","Astro"
"7050x4897","eL2/3"
"7042x6403","eL6-2"
"7048x4643","eL5-3"
"7045x439","eL5-3"
"7038x3002","eL5-3"
"7037x147","eL5-3"
"7060x3565","Endo"
"7103x890","Lhx6"
"7097x2752","eL5-3"
"7069x3981","eL5-3"
"7120x6537","eL5-3"
"7075x3659","Endo"
"7118x6084","Lhx6"
"7130x1884","eL5-3"
"7143x277","eL2/3"
"7149x4408","eL6-1"
"7202x5467","eL5-3"
"7216x4991","eL6-1"
"7243x6120","eL6-1"
"7249x499","VIP"
"7224x3868","eL5-3"
"7250x3638","Endo"
"7232x4642","eL5-3"
"7242x4827","eL5-2"
"7238x977","eL5-2"
"7259x2064","Lhx6"
"7249x3429","Endo"
"7212x5906","eL6-1"
"7252x4552","eL5-3"
"7280x1467","eL5-2"
"7338x188","Smc"
"7314x1699","Astro"
"7332x3404","Endo"
"7342x2872","Lhx6"
"7353x5189","eL5-3"
"7385x864","eL5-3"
"7396x4773","Lhx6"
"7421x5744","Astro"
"7422x697","Lhx6"
"7423x3354","Endo"
"7414x2226","eL5-3"
"7414x4227","eL5-3"
"7437x5847","eL6-1"
"7438x5959","eL6-1"
"7440x6390","eL2/3"
"7439x391","VIP"
"7460x1238","eL5-3"
"7450x2057","Lhx6"
"7455x5420","eL5-2"
"7440x5642","eL5-3"
"7458x2570","Smc"
"7470x3052","eL5-3"
"7484x4921","eL5-3"
"7497x6314","eL2/3"
"7496x277","Lhx6"
"7493x1825","SST"
"7572x513","eL5-2"
"7540x5305","eL5-3"
"7522x4094","eL5-3"
"7531x2753","eL5-3"
"7535x5149","eL5-3"
"7534x2926","eL5-3"
"7554x3279","Endo"
"7550x4403","eL6-1"
"7570x5584","NPY"
"7553x4243","eL5-3"
"7564x4666","NPY"
"7615x682","Reln"
"7573x2178","eL6-2"
"7586x213","Lhx6"
"7579x3986","Oligo"
"7589x2387","L5-1"
"7565x60","eL5-3"
"7577x1033","SST"
"7638x3438","Endo"
"7644x2004","eL5-3"
"7656x4279","L5-1"
"7668x3002","eL5-2"
"7664x3901","eL2/3"
"7647x3697","SST"
"7708x2506","Reln"
"7692x1800","eL5-2"
"7724x4516","eL5-3"
"7755x4917","eL5-3"
"7785x5059","eL5-2"
"7740x3796","eL5-2"
"7756x3150","eL5-3"
"7762x1692","Oligo"
"7760x1129","VIP"
"7759x3368","Endo"
"7783x6514","Lhx6"
"7766x1318","eL5-3"
"7774x4780","eL5-3"
"7796x1009","eL5-2"
"7814x2021","Reln"
"7807x2348","NPY"
"7824x2843","Astro"
"7848x5721","Endo"
"7875x4710","eL5-3"
"7885x6398","eL5-3"
"7896x3771","VIP"
"7862x6137","eL5-3"
"7873x2531","eL5-3"
"7921x3365","Endo"
"7961x6125","eL5-3"
"7927x607","eL5-3"
"7935x103","Lhx6"
"7952x2990","eL5-3"
"7962x4469","eL5-3"
"7977x1732","eL6-2"
"7956x422","eL5-2"
"7948x1383","eL5-3"
"7969x4136","eL5-3"
"8005x5806","Lhx6"
"8017x1272","L5-1"
"8027x1173","eL5-3"
"8007x4013","eL5-3"
"8061x4757","eL5-3"
"8039x3877","L5-1"
"8068x5356","L5-1"
"8025x314","eL5-3"
"8076x575","Lhx6"
"8072x1434","eL5-3"
"8052x726","Lhx6"
"8068x4145","eL5-3"
"8081x5672","Lhx6"
"8084x1098","eL5-3"
"8099x4982","Lhx6"
"8105x4007","Astro"
"8076x5960","eL5-3"
"8100x861","VIP"
"8071x6544","L5-1"
"8128x1008","eL5-3"
"8158x3850","Lhx6"
"8125x6098","eL6-1"
"8165x2812","eL6-1"
"8163x5858","eL5-3"
"8159x451","Astro"
"8170x1870","eL5-3"
"8135x4559","Lhx6"
"8170x3230","Endo"
"8197x6380","eL5-2"
"8206x2642","eL5-3"
"8208x2333","eL5-3"
"8216x5718","Lhx6"
"8207x5398","eL5-3"
"8224x730","eL5-2"
"8337x1658","SST"
"8280x3143","Endo"
"8277x507","Lhx6"
"8296x6129","eL5-2"
"8310x1108","eL5-3"
"8305x4147","Astro"
"8296x5507","eL2/3"
"8332x3267","Endo"
"8332x6285","eL6-2"
"8316x6450","L5-1"
"8311x3961","eL5-3"
"8327x5907","Lhx6"
"8350x5676","eL6-2"
"8336x3842","Astro"
"8356x2709","Astro"
"8320x3583","eL6-2"
"8350x3000","Endo"
"8376x2503","eL5-3"
"8384x5251","eL5-3"
"8386x75","eL5-2"
"8406x4567","Smc"
"8401x5508","eL5-2"
"8413x5356","eL5-3"
"8425x6532","L5-1"
"8427x5135","eL5-3"
"8446x3129","Endo"
"8467x3936","eL6-2"
"8463x4042","Oligo"
"8482x1121","SST"
"8472x1003","SST"
"8468x2551","Oligo"
"8468x4674","eL5-2"
"8496x1362","eL6-1"
"8515x3592","eL5-3"
"8500x1899","eL5-3"
"8585x38","eL5-3"
"8561x473","L5-1"
"8541x6083","eL5-2"
"8552x1527","eL6-1"
"8571x2937","Endo"
"8573x779","Endo"
"8593x1722","eL5-3"
"8607x3234","eL6-1"
"8618x195","eL5-3"
"8629x5202","eL6-2"
"8641x395","eL5-3"
"8638x4918","Endo"
"8653x882","SST"
"8644x2558","SST"
"8653x1383","eL6-1"
"8682x4779","eL6-1"
"8665x5073","eL6-1"
"8701x1955","eL6-2"
"8692x3108","eL6-1"
"8704x2410","eL6-1"
"8703x4279","eL6-1"
"8704x765","SST"
"8688x1123","NPY"
"8714x5636","eL6-2"
"8746x2070","eL6-2"
"8771x2725","SST"
"8730x3749","eL2/3"
"8724x592","SST"
"8736x5500","SST"
"8720x6292","eL6-2"
"8699x6526","eL6-1"
"8767x1277","eL6-1"
"8769x2264","eL6-1"
"8789x3026","Endo"
"8789x2897","Endo"
"8810x407","eL6-1"
"8806x4015","eL6-2"
"8837x940","eL5-2"
"8849x6554","NPY"
"8850x3143","eL5-2"
"8854x3721","eL5-3"
"8851x4898","eL6-1"
"8878x5486","SST"
"8863x3423","SST"
"8879x6106","SST"
"8891x5084","eL6-2"
"8851x72","eL6-1"
"8946x1526","eL6-1"
"8919x5293","eL6-1"
"8907x1343","eL6-2"
"8945x2067","eL6-1"
"8943x6349","eL5-2"
"8961x922","NPY"
"8972x2462","Oligo"
"8964x670","eL6-1"
"8971x1181","eL6-2"
"8976x3205","Oligo"
"8975x3441","Oligo"
"8988x329","eL6-2"
"9005x6230","eL6-1"
"9008x5032","eL6-1"
"9033x5813","eL6-1"
"9010x3027","Endo"
"9050x5689","eL6-1"
"9046x2737","Endo"
"9037x3605","Endo"
"9094x1087","eL6-1"
"9075x1437","NPY"
"9078x6078","eL6-1"
"9092x223","eL6-2"
"9100x3472","Endo"
"9065x4162","Endo"
"9086x4696","Oligo"
"9095x3162","Endo"
"9105x3971","Endo"
"9121x88","eL6-1"
"9175x349","eL6-1"
"9108x837","Reln"
"9120x2116","eL6-1"
"9126x3707","Endo"
"9124x2441","Oligo"
"9123x4440","Endo"
"9177x2676","Endo"
"9170x6314","eL6-1"
"9179x1988","eL6-1"
"9209x1739","eL6-1"
"9184x4655","Endo"
"9199x1157","eL6-1"
"9190x2194","eL6-1"
"9238x1415","eL6-1"
"9246x4814","eL5-2"
"9234x4505","L5-1"
"9200x4338","Endo"
"9233x4048","eL6-1"
"9234x834","VIP"
"9255x2298","eL6-1"
"9248x5569","eL6-1"
"9258x2518","L5-1"
"9271x1266","eL5-2"
"9284x4627","L5-1"
"9297x1860","eL6-1"
"9330x856","eL6-1"
"9284x6555","NPY"
"9334x2619","Endo"
"9348x1021","eL6-1"
"9354x3386","eL6-1"
"9372x4161","eL6-1"
"9365x4441","eL6-1"
"9374x4602","Astro"
"9379x2266","eL6-1"
"9391x2515","eL6-2"
"9391x1245","eL6-1"
"9398x6216","eL6-1"
"9447x1744","eL6-2"
"9423x3242","eL6-1"
"9414x4315","eL6-1"
"9390x4905","eL6-1"
"9464x2170","eL6-1"
"9452x6548","eL6-1"
"9452x2382","eL6-1"
"9446x3049","Endo"
"9471x3785","eL6-1"
"9474x336","L5-1"
"9513x4357","eL6-1"
"9529x4104","eL6-1"
"9527x2731","eL5-3"
"9544x3436","eL6-1"
"9508x4563","eL6-1"
"9499x4730","eL6-1"
"9531x2962","eL5-2"
"9565x763","eL6-1"
"9559x444","eL6-1"
"9609x1272","eL6-1"
"9584x5768","eL6-1"
"9574x6229","eL6-1"
"9589x621","eL6-1"
"9608x1530","eL6-2"
"9617x2001","eL6-1"
"9660x3256","eL6-1"
"9604x5606","eL6-1"
"9629x853","eL6-1"
"9629x2500","Endo"
"9631x2682","Astro"
"9649x4704","eL6-2"
"9642x5893","eL6-1"
"9650x4538","eL6-1"
"9664x2147","eL6-2"
"9640x6023","eL6-2"
"9647x6532","eL6-1"
"9622x1091","eL6-1"
"9689x3829","eL6-1"
"9651x4969","Astro"
"9657x3565","eL6-1"
"9706x4159","eL6-1"
"9729x681","eL6-1"
"9695x4355","eL6-2"
"9717x6162","Reln"
"9705x1826","eL6-2"
"9744x2854","eL6-1"
"9748x500","eL6-1"
"9762x2630","eL6-1"
"9739x2403","eL6-2"
"9761x4468","eL6-1"
"9744x6392","eL6-1"
"9783x6010","eL6-2"
"9801x5228","eL6-2"
"9796x5819","eL6-1"
"9788x1344","eL6-1"
"9808x839","eL6-1"
"9817x6537","eL6-2"
"9786x2247","SST"
"9827x3096","eL6-1"
"9841x2333","eL6-2"
"9851x1706","eL6-1"
"9819x1949","Astro"
"9854x5459","eL6-1"
"9875x550","eL6-1"
"9866x973","eL6-1"
"9859x3638","eL6-1"
"9882x4379","eL6-1"
"9873x2765","Endo"
"9907x1103","eL6-1"
"9865x3377","eL6-2"
"9875x3907","eL6-1"
"9871x5642","eL6-1"
"9893x6295","eL6-1"
"9910x6017","eL5-3"
"9909x2871","Endo"
"9926x4209","eL6-1"
"9925x1328","eL6-1"
"9979x2256","eL6-2"
"9979x4103","VIP"
"9980x2535","eL6-2"
"9964x4998","eL6-2"
"10018x5573","eL6-1"
"9977x6396","eL6-1"
"10001x1559","eL6-1"
"9989x3548","eL6-1"
"9975x2959","Oligo"
"10018x3838","eL6-2"
"10004x949","eL6-2"
"10016x2051","L5-1"
"10017x491","eL6-1"
"10014x4670","Astro"
"10074x4913","eL6-1"
"10046x6467","eL6-1"
"10061x2418","Oligo"
"10088x4442","eL5-2"
"10090x727","eL6-2"
"10135x1220","eL6-2"
"10083x3681","eL5-2"
"10086x2185","Endo"
"10106x382","eL6-1"
"10157x2755","Endo"
"10155x955","Oligo"
"10135x2008","eL5-3"
"10119x4113","eL6-2"
"10139x5166","eL6-1"
"10154x1656","eL6-2"
"10164x3769","eL6-2"
"10180x2570","eL6-2"
"10191x229","eL6-1"
"10186x3578","eL6-1"
"10169x5842","eL6-1"
"10200x6314","eL6-1"
"10208x2218","Astro"
"10226x535","Oligo"
"10213x5549","eL6-2"
"10241x2393","eL6-2"
"10212x3990","eL6-2"
"10228x4738","eL6-2"
"10242x5101","eL6-1"
"10245x3227","eL6-1"
"10254x3792","eL6-1"
"10213x69","eL6-1"
"10255x3020","eL6-2"
"10279x820","eL6-2"
"10272x2035","Endo"
"10298x3506","eL6-2"
"10306x5941","eL6-1"
"10369x4087","eL6-1"
"10297x3882","eL6-2"
"10351x3675","eL6-2"
"10365x4263","eL6-2"
"10363x5084","eL6-1"
"10362x2245","eL6-1"
"10382x6516","eL6-1"
"10394x5827","eL6-1"
"10396x2993","eL6-2"
"10379x5459","eL6-2"
"10434x2562","eL6-2"
"10403x1965","Endo"
"10392x4422","eL6-2"
"10379x4617","eL6-1"
"10457x3475","eL6-1"
"10445x5677","eL6-1"
"10473x3304","Lhx6"
"10478x1751","Astro"
"10477x1873","Endo"
"10488x5375","eL6-1"
"10462x6005","eL6-1"
"10500x2780","eL6-2"
"10513x2957","eL6-2"
"10546x4435","eL6-1"
"10541x360","eL6-2"
"10515x4946","eL6-1"
"10539x1059","Astro"
"10540x6323","eL6-1"
"10543x4630","eL6-2"
"10541x6155","eL6-1"
"10549x652","L5-1"
"10582x2103","eL6-2"
"10548x2321","eL6-2"
"10618x1788","Endo"
"10603x3345","NPY"
"10604x5183","eL6-2"
"10608x198","eL6-1"
"10597x2595","eL6-2"
"10645x4949","eL6-1"
"10678x4759","eL6-2"
"10701x5274","eL6-2"
"10712x1935","Astro"
"10766x6412","eL6-1"
"10794x5447","eL6-1"
"10780x775","Oligo"
"10776x5833","eL6-2"
"10804x5982","eL6-1"
"10780x2707","Endo"
"10897x5563","eL6-2"
"10909x6515","eL6-1"
"10905x1330","SST"
"10962x3586","Astro"
"10967x5861","eL6-2"
"10939x4234","Oligo"
"10952x4801","Oligo"
"11001x4077","eL6-2"
"11004x3906","eL6-2"
"11003x6047","eL6-2"
"10976x1180","VIP"
"11008x2790","Oligo"
"11000x6321","eL6-2"
"11006x2600","Astro"
"11048x3474","Astro"
"11112x1858","Smc"
"11132x4275","Smc"
"11149x5360","Astro"
"11164x6281","eL6-2"
"11157x6116","eL6-2"
"11175x5682","Reln"
"11209x4580","SST"
"11226x4774","Smc"
"11238x5964","eL6-2"
"11279x5252","eL6-1"
"11276x667","Astro"
"11429x5206","eL6-2"
"11501x71","NPY"
"11437x2101","Smc"
"11474x5047","eL6-2"
"11570x5875","eL6-2"
"11587x2128","Oligo"
"11605x3297","Astro"
"11549x3628","Smc"
"11631x2027","Oligo"
"11605x4925","eL5-3"
"11637x5298","Astro"
"11702x4596","Smc"
"11831x3904","eL5-3"
"11789x4618","Astro"
"11822x4071","Oligo"
"11845x1465","Oligo"
"11919x2593","Oligo"
"11911x3748","Oligo"
"11953x3129","Oligo"
"11974x1510","Oligo"
"11919x6078","eL6-1"
"12039x1940","Smc"
"12090x6252","Astro"
"12101x3456","Astro"
"12121x1107","Astro"
"12116x1850","Oligo"
"12149x4679","eL5-2"
"12140x1251","Oligo"
