"","c"
"2964x2382","eL5-2"
"3029x6124","eL2/3"
"3038x3690","SST"
"2981x4312","eL2/3"
"3001x4589","eL2/3"
"3047x2992","eL5-2"
"3026x168","eL5-2"
"3035x2735","L5-1"
"3055x1255","eL5-2"
"3045x5574","eL2/3"
"3127x3550","SST"
"3109x991","eL5-3"
"3142x5223","eL5-2"
"3170x4419","eL5-3"
"3191x2032","eL5-3"
"3193x3278","L5-1"
"3190x67","Lhx6"
"3210x5543","eL5-2"
"3178x6390","eL2/3"
"3203x2480","Smc"
"3217x1786","eL5-3"
"3165x1605","eL5-3"
"3254x647","SST"
"3258x1076","eL5-3"
"3289x4106","Endo"
"3254x1284","L5-1"
"3287x2225","L5-1"
"3301x407","eL5-3"
"3263x2923","eL5-3"
"3325x3157","eL5-3"
"3354x3515","eL2/3"
"3325x6045","eL2/3"
"3364x1480","eL5-3"
"3380x4748","eL2/3"
"3366x4389","VIP"
"3403x238","eL5-3"
"3371x860","eL5-3"
"3388x5201","eL5-2"
"3403x1139","eL5-2"
"3456x617","L5-1"
"3455x4948","eL5-2"
"3478x5885","Lhx6"
"3455x3940","eL5-2"
"3560x1126","eL6-1"
"3513x3509","eL5-2"
"3525x4249","eL5-2"
"3539x2725","L5-1"
"3598x3920","L5-1"
"3515x4106","Endo"
"3559x5192","L5-1"
"3595x2939","eL5-3"
"3583x981","Lhx6"
"3582x5537","eL2/3"
"3635x3143","Reln"
"3628x3628","SST"
"3619x1701","eL5-3"
"3602x2222","L5-1"
"3657x4163","Endo"
"3665x1449","L5-1"
"3682x6157","eL2/3"
"3643x112","L5-1"
"3702x5289","eL5-2"
"3697x3465","eL5-2"
"3709x4779","eL5-3"
"3723x4545","eL2/3"
"3738x4020","Endo"
"3746x2408","VIP"
"3778x3306","eL5-2"
"3806x4345","L5-1"
"3787x1828","L5-1"
"3831x2123","eL5-3"
"3796x5486","eL5-2"
"3804x3702","eL5-3"
"3840x5169","eL5-3"
"3836x6012","eL2/3"
"3832x3041","eL6-2"
"3867x1566","eL5-3"
"3834x4986","eL5-2"
"3869x1172","Astro"
"3826x2771","Astro"
"3896x3910","L5-1"
"3890x675","eL5-3"
"3911x4046","Endo"
"3894x197","eL5-3"
"3925x2545","L5-1"
"3936x493","eL5-3"
"3959x939","eL5-3"
"4035x2905","Reln"
"4016x3267","eL5-2"
"3992x73","eL5-3"
"4000x358","L5-1"
"4004x2373","L5-1"
"4015x4988","eL5-3"
"4048x3718","Astro"
"4000x5637","eL5-2"
"4024x1341","eL5-3"
"4000x1947","Astro"
"4056x2718","Smc"
"4099x1151","Lhx6"
"4095x4021","Endo"
"4081x1490","L5-1"
"4091x4648","Smc"
"4156x5281","Astro"
"4107x5920","eL2/3"
"4151x2300","eL5-3"
"4144x1655","L5-1"
"4124x2032","eL5-3"
"4148x4942","eL5-3"
"4181x141","L5-1"
"4237x4536","SST"
"4185x4791","SST"
"4244x1325","eL5-3"
"4243x1800","Astro"
"4225x1013","eL5-3"
"4259x1532","eL5-3"
"4260x2060","Oligo"
"4246x2764","Lhx6"
"4223x3477","eL5-3"
"4242x3944","Endo"
"4272x4111","L5-1"
"4257x6184","Lhx6"
"4305x2433","eL5-3"
"4329x2615","eL5-3"
"4356x5018","eL5-2"
"4352x2301","eL5-3"
"4335x3186","eL5-3"
"4326x221","eL5-3"
"4372x952","NPY"
"4408x1718","eL5-2"
"4384x2969","eL5-3"
"4410x1265","Astro"
"4412x3366","eL5-3"
"4359x4303","eL5-3"
"4411x2011","eL5-3"
"4442x5438","L5-1"
"4453x1550","SST"
"4456x6137","eL5-2"
"4434x5865","eL5-2"
"4470x2600","eL5-3"
"4440x6523","L5-1"
"4461x6335","eL2/3"
"4533x267","eL5-3"
"4553x1880","eL5-3"
"4568x2033","eL6-1"
"4540x2178","SST"
"4550x591","eL5-3"
"4581x4791","eL5-3"
"4600x5110","Oligo"
"4591x1113","L5-1"
"4569x2805","eL5-3"
"4607x3591","eL5-3"
"4645x3786","eL5-3"
"4571x4499","eL5-3"
"4602x5830","L5-1"
"4668x2568","eL5-3"
"4605x4113","eL5-3"
"4649x2340","eL5-3"
"4660x6099","Reln"
"4639x5451","eL5-2"
"4696x1321","Endo"
"4728x467","eL5-3"
"4740x5765","eL2/3"
"4767x4775","eL5-3"
"4758x5513","eL5-2"
"4729x3461","eL5-2"
"4749x77","SST"
"4843x4187","eL5-3"
"4806x2217","eL6-2"
"4826x623","eL5-3"
"4757x6474","eL5-2"
"4851x5583","Reln"
"4839x453","eL5-3"
"4834x802","eL5-3"
"4889x4414","Endo"
"4879x2957","L5-1"
"4939x1376","eL5-3"
"4878x5997","eL5-3"
"4895x194","Astro"
"4876x3668","eL5-3"
"4901x1679","eL5-3"
"4922x5842","eL5-3"
"4964x4957","eL5-2"
"4924x3496","eL5-3"
"4935x6168","eL5-3"
"4956x376","Endo"
"4970x891","eL5-3"
"4983x1564","Smc"
"4928x2030","Smc"
"4958x2301","Astro"
"4974x5673","Lhx6"
"4988x1165","eL5-3"
"5018x4663","L5-1"
"5041x3123","eL5-3"
"5039x135","Endo"
"5025x1873","eL2/3"
"5114x5332","eL5-2"
"5052x3456","eL6-1"
"5092x749","L5-1"
"5087x2041","Smc"
"5093x2447","Lhx6"
"5140x4655","eL5-3"
"5087x4141","eL5-3"
"5124x6033","eL5-3"
"5147x5131","eL5-3"
"5135x2663","L5-1"
"5144x3400","L5-1"
"5154x934","Lhx6"
"5236x497","Lhx6"
"5178x1962","Astro"
"5171x6326","eL5-3"
"5212x1481","Astro"
"5217x3635","Endo"
"5188x185","eL5-3"
"5186x6539","eL5-3"
"5263x3369","Endo"
"5235x2914","L5-1"
"5268x1710","eL6-1"
"5276x1912","eL6-1"
"5224x3853","eL5-3"
"5259x4019","eL5-2"
"5318x252","VIP"
"5323x6014","eL5-3"
"5301x3140","eL6-1"
"5333x980","eL5-3"
"5327x4565","VIP"
"5333x5168","eL5-3"
"5310x1106","eL5-3"
"5392x2208","L5-1"
"5358x4234","eL5-3"
"5383x2974","eL6-1"
"5411x2360","eL5-3"
"5394x2522","SST"
"5387x5343","eL5-3"
"5379x1247","eL5-3"
"5457x2720","eL6-2"
"5448x3084","eL5-2"
"5449x91","eL5-3"
"5426x1987","Smc"
"5450x3822","NPY"
"5459x3245","L5-1"
"5382x5676","eL5-3"
"5502x836","Lhx6"
"5529x5741","L5-1"
"5544x3587","Astro"
"5561x5546","eL5-2"
"5579x3979","L5-1"
"5572x1180","eL5-3"
"5584x5972","Oligo"
"5590x1871","L5-1"
"5636x6494","eL5-3"
"5606x113","SST"
"5586x2061","L5-1"
"5568x4879","eL5-3"
"5615x5345","eL5-3"
"5613x1701","Astro"
"5649x5868","Smc"
"5655x3238","SST"
"5681x575","Smc"
"5694x2130","L5-1"
"5699x3485","Astro"
"5720x4929","eL5-2"
"5702x2610","Astro"
"5758x4447","eL5-3"
"5745x194","eL5-3"
"5816x5967","eL5-3"
"5798x3798","eL5-3"
"5742x4044","eL5-3"
"5801x2354","Smc"
"5806x1995","eL6-1"
"5783x4191","L5-1"
"5798x1832","eL5-3"
"5819x1492","eL5-3"
"5826x757","Endo"
"5849x1303","NPY"
"5853x559","eL6-2"
"5884x2598","L5-1"
"5866x2897","SST"
"5814x4670","L5-1"
"5809x961","Smc"
"5909x2226","eL5-2"
"5901x5338","Astro"
"5896x168","eL5-3"
"5908x407","eL5-3"
"5865x5636","eL5-3"
"5888x6136","eL5-3"
"5973x3340","Endo"
"5911x3038","eL6-2"
"5925x3713","eL5-3"
"5948x1707","eL5-3"
"5993x2471","eL5-3"
"6019x4326","eL5-2"
"5965x5125","SST"
"5984x6386","Lhx6"
"6025x2721","eL6-1"
"6013x559","Oligo"
"6085x1775","SST"
"6040x3954","eL5-3"
"6096x4794","eL5-2"
"6088x794","VIP"
"6085x1967","L5-1"
"6156x2183","eL5-3"
"6113x1179","eL5-2"
"6092x6007","eL5-3"
"6108x6133","eL5-3"
"6146x6344","Lhx6"
"6156x2828","eL6-2"
"6130x1569","eL5-3"
"6195x4581","Lhx6"
"6198x5208","L5-1"
"6178x1382","eL5-2"
"6187x5808","eL6-1"
"6235x1853","eL5-2"
"6232x5974","SST"
"6210x631","eL5-3"
"6288x853","eL5-3"
"6307x4064","Endo"
"6271x420","eL5-3"
"6303x2808","eL6-1"
"6280x4778","L5-1"
"6224x3399","eL5-3"
"6335x1600","eL5-3"
"6340x1974","L5-1"
"6346x5909","SST"
"6336x2494","eL5-3"
"6410x1164","eL5-3"
"6397x4394","Smc"
"6473x5276","SST"
"6445x943","eL5-3"
"6480x2053","Lhx6"
"6482x3285","VIP"
"6539x904","Endo"
"6507x4885","eL5-3"
"6554x3722","eL5-3"
"6551x4199","eL6-1"
"6536x602","Astro"
"6602x4466","eL5-3"
"6587x1330","eL5-3"
"6636x5138","Reln"
"6661x3360","eL5-3"
"6659x1919","eL5-3"
"6680x472","eL5-3"
"6703x935","Smc"
"6639x4640","eL6-1"
"6671x2502","eL5-3"
"6748x1303","eL6-1"
"6740x6295","L5-1"
"6731x1709","eL5-3"
"6744x2301","eL6-1"
"6776x3036","L5-1"
"6725x5468","Smc"
"6792x1208","eL6-1"
"6778x1483","eL5-3"
"6777x4498","eL6-1"
"6812x5727","Smc"
"6775x593","eL5-3"
"6851x1827","eL5-3"
"6812x2844","SST"
"6801x3193","L5-1"
"6787x4074","Astro"
"6843x5427","Astro"
"6807x2682","L5-1"
"6800x6478","eL5-2"
"6867x600","eL5-3"
"6857x3481","Astro"
"6934x5074","eL5-3"
"6860x818","Astro"
"6887x3674","SST"
"6893x2064","SST"
"6908x4381","eL5-2"
"6966x2781","L5-1"
"6954x1072","NPY"
"6973x3309","eL5-2"
"6990x461","Smc"
"6986x5247","eL5-3"
"6998x634","eL6-2"
"6974x2444","eL5-3"
"7020x3603","eL5-3"
"7030x3989","eL5-3"
"6991x2247","eL6-1"
"7024x891","NPY"
"6981x4674","eL5-3"
"6999x6251","eL5-3"
"7045x197","eL6-1"
"7044x3049","Lhx6"
"7122x416","eL6-1"
"7085x2673","eL5-3"
"7110x4547","Lhx6"
"7139x5833","eL5-2"
"7161x1005","Smc"
"7204x774","eL5-2"
"7215x2682","Astro"
"7183x5535","eL5-2"
"7168x6500","eL6-1"
"7223x267","eL6-1"
"7213x2350","eL5-3"
"7217x2102","L5-1"
"7215x3064","eL5-2"
"7226x4662","eL5-2"
"7255x5179","eL5-3"
"7284x85","VIP"
"7262x476","eL6-1"
"7252x1100","eL6-2"
"7302x1709","Astro"
"7269x1825","L5-1"
"7296x2824","eL5-2"
"7406x3123","Lhx6"
"7328x5458","eL5-3"
"7343x909","eL6-1"
"7449x1158","eL6-1"
"7351x2080","eL6-1"
"7334x3828","eL5-3"
"7356x473","Lhx6"
"7377x2288","L5-1"
"7402x3502","eL6-1"
"7362x4893","eL5-2"
"7361x5991","eL5-2"
"7458x4167","L5-1"
"7412x5866","L5-1"
"7463x426","SST"
"7396x5638","eL2/3"
"7466x4826","eL5-2"
"7460x4513","L5-1"
"7480x5284","VIP"
"7477x5743","Endo"
"7517x177","eL6-2"
"7495x2052","Astro"
"7520x3705","eL6-2"
"7517x5480","eL5-3"
"7528x684","eL6-1"
"7579x2306","SST"
"7543x2643","NPY"
"7537x6370","Astro"
"7587x4652","eL6-1"
"7600x4893","L5-1"
"7614x2795","NPY"
"7636x6540","eL5-3"
"7642x1460","eL5-3"
"7643x2006","Oligo"
"7617x5072","eL6-2"
"7624x5464","eL5-2"
"7628x5239","Lhx6"
"7654x5954","eL6-1"
"7686x1701","eL6-1"
"7672x6089","Lhx6"
"7689x704","eL6-1"
"7690x861","Smc"
"7669x4314","eL6-1"
"7707x6381","eL6-1"
"7715x3244","eL5-2"
"7738x4064","eL6-1"
"7777x4212","eL5-3"
"7708x1020","eL6-1"
"7765x2177","Endo"
"7776x4573","Lhx6"
"7851x5945","eL5-3"
"7789x301","eL6-1"
"7799x3095","SST"
"7825x2724","eL6-2"
"7844x1741","eL6-1"
"7850x2552","eL6-1"
"7828x3416","SST"
"7824x4404","Reln"
"7811x1291","eL6-1"
"7820x602","eL6-1"
"7896x3161","NPY"
"7868x58","eL5-2"
"7895x1893","eL6-1"
"7870x4890","Astro"
"7863x2365","Astro"
"7931x855","eL6-1"
"7863x5172","eL5-2"
"7924x2051","eL6-1"
"7926x3354","SST"
"7947x435","eL6-1"
"7919x2987","Endo"
"7988x1375","eL6-1"
"7987x2209","eL6-1"
"7983x4615","eL6-1"
"7972x6479","eL6-1"
"7986x123","Oligo"
"8008x5135","Oligo"
"8008x704","eL6-1"
"8045x2994","Endo"
"8037x997","Smc"
"8000x5024","Oligo"
"8030x6140","eL6-1"
"8046x2594","eL6-2"
"8046x2762","eL6-1"
"8030x3609","L5-1"
"8032x5781","Astro"
"8068x2368","eL6-1"
"8069x4486","eL5-3"
"8070x1192","eL6-1"
"8124x1052","eL6-1"
"8037x3847","Astro"
"8095x4340","eL6-1"
"8144x806","eL6-1"
"8149x5456","Lhx6"
"8152x5643","L5-1"
"8205x2801","eL6-1"
"8164x1403","eL6-1"
"8196x2940","eL6-1"
"8216x4622","eL6-1"
"8201x4795","NPY"
"8200x5842","L5-1"
"8203x2228","eL6-1"
"8198x6433","eL5-2"
"8206x87","eL6-1"
"8225x3448","eL6-1"
"8173x250","eL6-2"
"8233x2637","eL6-1"
"8228x5081","eL6-1"
"8248x5370","Lhx6"
"8240x4000","eL6-2"
"8184x1534","eL5-2"
"8240x1045","Smc"
"8249x1258","eL6-1"
"8255x2388","Astro"
"8292x4920","L5-1"
"8290x4147","eL6-1"
"8305x5229","eL6-2"
"8342x4406","eL6-1"
"8330x5908","L5-1"
"8342x976","Smc"
"8356x2203","eL6-1"
"8395x1095","Smc"
"8396x1327","eL6-1"
"8368x613","eL6-1"
"8379x6204","Endo"
"8344x3255","eL6-1"
"8404x2037","eL6-1"
"8440x1834","Oligo"
"8433x2626","eL6-1"
"8435x1542","eL6-1"
"8456x1423","eL6-1"
"8461x4962","eL6-1"
"8450x5305","eL6-1"
"8459x1205","eL6-1"
"8466x953","eL6-1"
"8484x4249","eL5-2"
"8497x3069","eL6-1"
"8457x2803","eL6-1"
"8489x4730","L5-1"
"8490x2449","eL6-2"
"8463x5668","eL6-1"
"8538x1676","eL6-1"
"8502x5868","L5-1"
"8542x6176","eL2/3"
"8541x475","Smc"
"8560x2290","Smc"
"8544x4022","eL6-1"
"8560x1015","eL6-1"
"8550x738","eL6-1"
"8530x114","eL6-1"
"8596x2091","Astro"
"8603x1912","NPY"
"8611x5602","L5-1"
"8615x2777","eL5-3"
"8644x1427","eL6-1"
"8631x5146","eL6-1"
"8672x5332","L5-1"
"8661x934","eL6-2"
"8684x774","eL6-1"
"8683x2953","eL6-1"
"8738x3824","eL6-1"
"8757x5850","eL6-1"
"8760x538","eL6-2"
"8752x5607","eL6-1"
"8800x1526","eL6-1"
"8755x1823","NPY"
"8784x6231","L5-1"
"8791x924","eL6-1"
"8830x1310","eL6-2"
"8832x5076","SST"
"8843x2059","eL6-2"
"8893x3594","L5-1"
"8827x4151","eL5-2"
"8848x314","eL6-2"
"8839x748","eL6-1"
"8899x3463","Oligo"
"8885x3134","eL6-1"
"8888x5683","eL6-2"
"8946x88","eL6-2"
"8930x4519","eL2/3"
"8907x3931","L5-1"
"8927x6239","L5-1"
"8932x1655","eL5-2"
"8936x4086","eL6-1"
"8962x806","eL6-2"
"8920x3280","eL6-1"
"8939x2833","L5-1"
"8922x5355","VIP"
"9013x2062","eL6-2"
"9033x4195","eL6-1"
"9064x3040","SST"
"9070x1384","eL6-1"
"9064x1843","Astro"
"9139x5356","eL6-1"
"9089x6157","Lhx6"
"9085x6395","eL6-1"
"9120x378","eL6-1"
"9132x868","eL6-2"
"9121x1202","eL6-2"
"9155x5902","Astro"
"9128x3538","eL6-1"
"9143x3884","L5-1"
"9166x4979","eL6-1"
"9153x4117","L5-1"
"9157x4348","eL6-1"
"9186x6519","eL6-2"
"9244x796","eL6-2"
"9226x3671","eL6-1"
"9227x5628","eL6-1"
"9249x4027","eL6-1"
"9226x576","eL6-1"
"9250x4533","eL6-1"
"9267x3812","Smc"
"9310x1451","L5-1"
"9350x1162","Astro"
"9306x3470","eL6-1"
"9311x5858","L5-1"
"9344x2557","eL6-1"
"9311x2210","Reln"
"9375x6273","eL6-2"
"9353x2832","eL6-1"
"9397x6117","eL6-1"
"9400x75","eL6-1"
"9383x803","eL6-2"
"9389x3044","eL6-2"
"9388x3977","L5-1"
"9408x4955","Lhx6"
"9409x1853","SST"
"9395x5560","eL6-1"
"9407x5715","eL6-1"
"9402x3356","eL6-1"
"9425x4830","Lhx6"
"9451x2049","Reln"
"9455x641","Oligo"
"9485x3484","Oligo"
"9478x1639","eL6-1"
"9504x2487","Oligo"
"9469x3768","Endo"
"9581x2272","Astro"
"9547x3261","eL6-2"
"9531x4023","eL6-1"
"9511x6157","Astro"
"9514x4702","eL6-1"
"9531x153","eL6-1"
"9557x5066","eL6-1"
"9556x1049","eL6-1"
"9551x3131","eL6-2"
"9520x3623","eL5-2"
"9562x5979","eL6-1"
"9595x1502","eL5-2"
"9479x336","eL6-2"
"9640x3805","eL6-2"
"9624x5589","L5-1"
"9600x2877","eL5-2"
"9629x595","eL6-2"
"9553x4213","Oligo"
"9632x1310","eL6-1"
"9596x2709","eL5-2"
"9653x4857","eL6-1"
"9656x1728","eL6-1"
"9711x4170","Astro"
"9743x808","eL6-2"
"9727x2531","eL6-1"
"9672x3399","eL6-1"
"9714x335","eL6-2"
"9751x5867","eL6-1"
"9738x3642","eL6-1"
"9766x5379","eL6-1"
"9774x6516","eL6-1"
"9764x4534","eL6-1"
"9838x602","eL6-2"
"9784x2084","eL6-2"
"9827x6131","Astro"
"9849x1012","eL5-2"
"9854x3139","eL6-1"
"9916x1155","eL6-2"
"9834x1854","eL6-1"
"9868x3629","eL5-2"
"9868x1694","eL6-1"
"9894x4564","eL6-1"
"9929x1933","eL6-2"
"9888x1469","eL6-1"
"9942x5457","Smc"
"9973x3029","eL5-3"
"9936x4060","eL6-1"
"9969x6336","eL6-2"
"9980x3803","eL6-1"
"9927x4814","eL6-1"
"9954x6488","eL6-1"
"9934x2421","eL6-2"
"9969x3404","eL6-1"
"9964x5705","Oligo"
"9986x919","Astro"
"10005x4645","eL6-1"
"10031x4359","eL6-1"
"10076x5061","eL6-2"
"10048x5349","NPY"
"10033x3594","eL6-1"
"10044x4203","eL6-1"
"10090x1435","eL6-1"
"10074x1786","eL6-1"
"10143x524","L5-1"
"10097x2534","eL6-2"
"10104x5928","eL6-1"
"10108x1043","Astro"
"10160x2029","Oligo"
"10116x6518","Oligo"
"10131x2844","eL6-2"
"10126x3846","eL6-1"
"10125x47","Astro"
"10154x3662","eL6-1"
"10166x4672","Oligo"
"10184x5288","NPY"
"10129x2251","eL6-1"
"10204x6159","eL5-2"
"10212x3269","Oligo"
"10248x932","eL5-2"
"10247x1253","eL5-3"
"10246x4434","eL6-2"
"10269x5877","Astro"
"10264x6034","eL6-1"
"10277x3730","eL6-1"
"10281x1636","eL6-2"
"10286x1839","Astro"
"10291x1064","L5-1"
"10298x3417","Oligo"
"10321x6284","L5-1"
"10276x3949","eL6-1"
"10362x2593","eL6-1"
"10376x3539","Oligo"
"10345x3042","eL6-2"
"10379x3192","eL6-2"
"10410x3931","eL6-1"
"10396x1141","Oligo"
"10396x5211","eL6-1"
"10440x5663","eL6-1"
"10411x6452","Oligo"
"10436x2267","Astro"
"10491x4812","eL6-2"
"10459x4161","Astro"
"10436x1444","eL6-2"
"10425x5540","eL6-1"
"10484x4361","eL6-1"
"10460x5395","eL6-1"
"10477x1285","Astro"
"10476x5808","eL6-1"
"10495x3253","eL6-1"
"10517x4529","Astro"
"10519x5045","eL6-1"
"10567x5931","eL6-1"
"10502x6202","eL6-2"
"10576x3965","eL6-1"
"10594x804","Astro"
"10615x5276","eL6-1"
"10595x1975","Oligo"
"10580x6061","eL6-1"
"10602x6484","eL6-1"
"10625x312","Endo"
"10651x2799","eL6-2"
"10640x3792","Astro"
"10702x589","L5-1"
"10634x1123","Smc"
"10691x2056","NPY"
"10665x3302","eL6-2"
"10757x348","Smc"
"10686x4539","eL6-1"
"10751x4080","eL6-1"
"10732x5553","eL6-1"
"10716x2579","eL6-2"
"10769x3616","eL6-1"
"10858x3889","eL6-2"
"10844x905","VIP"
"10835x1857","Smc"
"10867x4476","eL6-1"
"10827x4755","eL6-2"
"10857x6468","eL6-1"
"10876x702","L5-1"
"10848x3002","eL6-2"
"10893x5045","eL6-2"
"10836x6211","eL6-1"
"10894x3499","eL6-2"
"10953x2973","eL6-1"
"10947x5183","eL6-2"
"10955x1236","L5-1"
"10961x1686","eL6-1"
"10953x2055","Astro"
"10975x6059","eL6-1"
"11030x5319","Smc"
"10997x3224","eL6-2"
"10958x2630","Smc"
"10999x3371","eL6-2"
"11020x2247","Smc"
"11047x3519","Smc"
"11056x3658","Oligo"
"11084x4243","eL6-1"
"11096x5481","Smc"
"11100x327","Endo"
"11119x1758","eL6-1"
"11115x2604","L5-1"
"11117x4672","eL6-1"
"11115x4522","eL6-1"
"11128x104","SST"
"11018x5766","eL6-1"
"11171x1314","eL6-1"
"11153x4389","eL5-3"
"11237x1137","L5-1"
"11128x3057","L5-1"
"11187x6006","eL6-2"
"11204x777","Oligo"
"11179x1640","eL5-2"
"11223x3705","eL6-2"
"11166x528","Oligo"
"11221x1910","Astro"
"11193x5034","eL6-1"
"11233x1509","Astro"
"11236x3533","eL5-3"
"11259x193","SST"
"11273x6399","Oligo"
"11273x2852","Oligo"
"11287x486","Oligo"
"11246x5192","eL6-1"
"11278x2693","Oligo"
"11310x3817","eL6-1"
"11317x5865","eL6-1"
"11289x2092","SST"
"11295x6264","Oligo"
"11289x3246","L5-1"
"11376x5339","eL6-1"
"11426x4585","eL6-2"
"11436x4902","eL6-1"
"11479x4356","eL6-1"
"11438x4170","eL6-1"
"11415x3586","Astro"
"11545x2313","Oligo"
"11435x5970","eL6-1"
"11480x2795","eL6-2"
"11471x1833","eL6-2"
"11521x2450","Oligo"
"11464x1964","Oligo"
"11519x1375","L5-1"
"11473x3867","Oligo"
"11525x6546","eL6-1"
"11561x1613","Astro"
"11548x5310","L5-1"
"11577x2621","eL5-3"
"11552x3997","Oligo"
"11639x3593","eL6-1"
"11577x4098","eL5-3"
"11624x6173","eL6-1"
"11665x4650","eL6-2"
"11703x1056","Smc"
"11724x3167","eL5-2"
"11715x441","Endo"
"11814x4253","eL6-2"
"11855x5179","eL6-2"
"11825x2335","Astro"
"11837x1715","L5-1"
"11829x1497","Oligo"
"11888x4548","eL5-3"
"11855x3025","eL5-3"
